SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3,Var4
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,274997,66,8.073908065100165e-05,0.8075522846713186,-0.0928293498524018,edit,8.127228061101978e-05,0.8127228061101978,-0.09005755318079377,0,66,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275063,192,0.00023487732553018664,2.349243009952927,0.37092794330927914,edit,0.000236428452686603,2.36428452686603,0.3736997399808872,0,192,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275097,137,0.00016759475832101858,1.676282772726828,0.2243472817621363,edit,0.00016870155217741986,1.6870155217741987,0.22711907843374438,0,137,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275355,13,1.590315224943972e-05,0.15906332879889606,-0.7984299330874338,edit,1.6008176483988746e-05,0.16008176483988745,-0.7956581364158256,0,13,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275367,53,6.483592840156194e-05,0.6484889558724225,-0.1880974157934814,edit,6.526410412703104e-05,0.6526410412703104,-0.18532561912187331,0,53,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275458,195,0.0002385472837415958,2.385949931983441,0.37766132596824753,edit,0.00024012264725983118,2.401226472598312,0.3804331226398556,0,195,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275621,24,2.935966569127333e-05,0.29365537624411586,-0.5321620436826644,edit,2.9553556585825375e-05,0.29553556585825375,-0.5293902470110564,0,24,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275639,98,0.00011988530157269942,1.1990927863301397,0.0788527902982244,edit,0.00012067702272545362,1.2067702272545362,0.08162458696983246,0,98,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275691,45,5.504937317113749e-05,0.5506038304577172,-0.25916077161892676,edit,5.541291859842258e-05,0.5541291859842258,-0.2563889749473187,0,45,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275740,6,7.339916422818332e-06,0.07341384406102897,-1.1342220350106267,edit,7.388389146456344e-06,0.07388389146456344,-1.1314502383390188,0,6,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275770,102,0.00012477857918791164,1.2480353490374922,0.09622688636764706,edit,0.00012560261548975784,1.2560261548975784,0.09899868303925514,0,102,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275939,45,5.504937317113749e-05,0.5506038304577172,-0.25916077161892676,edit,5.541291859842258e-05,0.5541291859842258,-0.2563889749473187,0,45,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,275947,11,1.345651344183361e-05,0.13459204744521977,-0.8709806002360454,edit,1.3545380101836631e-05,0.13545380101836632,-0.8682088035644373,0,11,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276048,247,0.0003021598927393547,3.0222032471790254,0.48032366786539527,edit,0.00030415535319578617,3.0415535319578617,0.48309546453700336,0,247,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276146,88,0.00010765210753466888,1.0767363795617582,0.03210938675589819,edit,0.00010836304081469305,1.0836304081469306,0.03488118342750628,0,88,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276254,115,0.00014068173143735136,1.4070986778363883,0.1483245549593412,edit,0.0001416107919737466,1.416107919737466,0.1510963516309493,0,115,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276289,62,7.584580303578944e-05,0.7586097219639659,-0.1199815958960166,edit,7.634668784671556e-05,0.7634668784671556,-0.11720979922440852,0,62,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276487,62,7.584580303578944e-05,0.7586097219639659,-0.1199815958960166,edit,7.634668784671556e-05,0.7634668784671556,-0.11720979922440852,0,62,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276700,127,0.00015536156428298803,1.5539263659584464,0.1914304355616864,edit,0.00015638757026665927,1.5638757026665928,0.19420223223329447,0,127,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
GE00000994-AMD_G01,GE00000994-AMD_G01,SPB00001,276779,9,1.1009874634227498e-05,0.11012076609154343,-0.9581307759549457,edit,1.1082583719684516e-05,0.11082583719684516,-0.9553589792833375,0,9,0,Plasmid,GE00000994-AMD,490.0,v0.5.0,Edit,PPV538,ODD179,#NA,#NA
