SampleId,SampleName,OnyxDesignDnaId,DesignSetId,NumberOfDesigns,DesignId,UniqueId,MappedDesign,OnyxEditReadCount,ReferenceReadCount,RawReferenceReadCount,OtherReadCount,RawOtherReadCount,TotalSpanningReadCount,RawTotalSpanningReadCount,RawEditGenomeTotalWithDuplicates,RawReferenceGenomeTotalWithDuplicates,DuplicateBiasCorrection,FracOnyxEditReadCount,FracReferenceReadCount,FracOtherReadCount,ExpectedTotalReadCount,RawEditRate,PvalueRaw,PvalueNormalized,BinomialEditCall,BinomialEditCallQuality,Comments,RepresentativeDesign,DesignCategory,ConsensusEditCoverage,ConsensusWTCoverage,ConsensusFractionEdit,ConsensusPValue,ConsensusCallNotes,OtherEditReadCount,OtherRefReadCount,OtherNeighborReadCount,DesignPlasmidCoverage,DesignPlasmidReferenceCoverage,ImproperOrClippedEditReads,ImproperOrClippedReferenceReads,EditedHASpanningFragments,ContainerNumber,InscriptaChemistrySOPVersion,Organism,StrainFunction,Var1,Var2,Var3,Var4
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277977,SPB00001|277977,True,0,9294.27142242197,10712,0.0,0,9294.27142242197,10712,0,13524,1.0,0.0,1.0,0.0,25349.385208201013,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277977,edit,0.0,11951.0,0.0,1.0,EGEWNotSpanned,0,0,0,74.0,74.0,0,691,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277978,SPB00001|277978,True,0,8840.452968961794,10274,0.0,0,8840.452968961794,10274,0,12817,1.0,0.0,1.0,0.0,24044.673787791722,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277978,edit,0.0,12037.0,0.0,1.0,EGEWNotSpanned,0,0,0,16.0,16.0,0,528,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277979,SPB00001|277979,True,0,8141.389996753579,11285,0.0,0,8141.389996753579,11285,0,14114,1.0,0.0,1.0,0.0,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277979,edit,0.0,12049.0,0.0,1.0,EGEWNotSpanned,0,0,0,42.0,42.0,0,364,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277980,SPB00001|277980,True,1,8601.44458021381,10381,0.0,0,8602.44458021381,10382,1,13073,1.0,0.0001162460264260308,0.999883753973574,0.0,26094.932820218874,9.632055480639569e-05,0.0985942222979698,0.08241281065207734,no_edit,8.241281E-02,,SPB00001|277980,edit,1.0,11155.0,8.963786303334529e-05,0.10554282227583348,no_edit,0,0,0,12.0,12.0,0,355,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277981,SPB00001|277981,True,0,11115.0,11115,1.0,1,11116.0,11116,0,13910,1.0,0.0,0.9999100395825836,8.99604174163368e-05,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277981,edit,0.0,11910.0,0.0,1.0,EGEWNotSpanned,0,0,1,83.0,83.0,0,256,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277982,SPB00001|277982,True,0,8585.226314419217,10493,0.0,0,8585.226314419217,10493,0,13216,1.0,0.0,1.0,0.0,24603.83630811418,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277982,edit,0.0,11713.0,0.0,1.0,EGEWNotSpanned,0,0,0,99.0,99.0,0,255,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277983,SPB00001|277983,True,0,8305.032283040304,9664,0.0,0,8305.032283040304,9664,0,12080,1.0,0.0,1.0,0.0,23858.286120052537,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277983,edit,0.0,11386.0,0.0,1.0,EGEWNotSpanned,0,0,0,34.0,26.0,0,359,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277985,SPB00001|277985,True,0,8696.0,8696,0.0,0,8696.0,8696,0,10800,1.0,0.0,1.0,0.0,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277985,edit,0.0,9587.0,0.0,1.0,EGEWNotSpanned,0,0,0,211.0,194.0,0,872,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277986,SPB00001|277986,True,0,5695.629519736995,6874,0.0,0,5695.629519736995,6874,0,8191,1.0,0.0,1.0,0.0,26094.932820218874,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277986,edit,0.0,7479.0,0.0,1.0,EGEWNotSpanned,0,0,0,92.0,70.0,0,484,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
GE00001154-GED_B01,GE00001154-GED_B01,#NA,SPB00001,10002,277987,SPB00001|277987,True,0,5951.214309782702,6859,0.0,0,5951.214309782702,6859,0,7970,1.0,0.0,1.0,0.0,25349.385208201013,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|277987,edit,0.0,7776.0,0.0,1.0,EGEWNotSpanned,0,0,0,136.0,136.0,0,201,0,GE00001154-GED,v0.5.0,Ecoli,Edit,ODD179,EC83,#NA,#NA
