SampleId,SampleName,OnyxDesignDnaId,DesignSetId,NumberOfDesigns,DesignId,UniqueId,MappedDesign,OnyxEditReadCount,ReferenceReadCount,RawReferenceReadCount,OtherReadCount,RawOtherReadCount,TotalSpanningReadCount,RawTotalSpanningReadCount,RawEditGenomeTotalWithDuplicates,RawReferenceGenomeTotalWithDuplicates,DuplicateBiasCorrection,FracOnyxEditReadCount,FracReferenceReadCount,FracOtherReadCount,ExpectedTotalReadCount,RawEditRate,PvalueRaw,PvalueNormalized,BinomialEditCall,BinomialEditCallQuality,Comments,RepresentativeDesign,DesignCategory,ConsensusEditCoverage,ConsensusWTCoverage,ConsensusFractionEdit,ConsensusPValue,ConsensusCallNotes,OtherEditReadCount,OtherRefReadCount,OtherNeighborReadCount,DesignPlasmidCoverage,DesignPlasmidReferenceCoverage,ImproperOrClippedEditReads,ImproperOrClippedReferenceReads,EditedHASpanningFragments,ContainerNumber,InscriptaChemistrySOPVersion,Organism,StrainFunction,Var1,Var2,Var3,Var4
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920633,SPB00001|1920633,True,0,3485.0,3485,0.0,0,3485.0,3485,0,3944,1.0,0.0,1.0,0.0,9520.371236870466,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920633,edit,0.0,4607.0,0.0,1.0,EGEWNotSpanned,0,0,0,4.0,4.0,0,108,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920634,SPB00001|1920634,True,0,3647.019969225406,4185,0.0,0,3647.019969225406,4185,0,4634,1.0,0.0,1.0,0.0,11489.719279627081,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920634,edit,0.0,4555.0,0.0,1.0,EGEWNotSpanned,0,0,0,2.0,2.0,0,169,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920635,SPB00001|1920635,True,2,3936.9800620294563,4306,0.0,0,3938.9800620294563,4308,2,4906,1.0,0.0005077456520481986,0.9994922543479517,0.0,11489.719279627081,0.00046425255338904364,0.0024553821544110992,0.0020610840975995386,edit,9.979389E-01,,SPB00001|1920635,edit,2.0,4688.0,0.00042643923240938164,0.0028979469498712127,edit,0,0,0,3.0,3.0,0,130,1,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920636,SPB00001|1920636,True,0,3747.7749272930373,3266,0.0,0,3747.7749272930373,3266,0,3670,1.0,0.0,1.0,0.0,10012.720586282941,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920636,edit,0.0,4289.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,178,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920637,SPB00001|1920637,True,0,4326.381769048908,4141,0.0,0,4326.381769048908,4141,0,4714,1.0,0.0,1.0,0.0,10997.394607502536,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920637,edit,0.0,4663.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,119,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920638,SPB00001|1920638,True,0,3871.0,3871,0.0,0,3871.0,3871,0,4387,1.0,0.0,1.0,0.0,10012.720586282941,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920638,edit,0.0,4949.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,81,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920639,SPB00001|1920639,True,0,3003.0,3003,3.0,3,3006.0,3006,0,3406,1.0,0.0,0.999001996007984,0.000998003992015968,8371.524097154277,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920639,edit,0.0,4510.0,0.0,1.0,EGEWNotSpanned,0,0,3,2.0,1.0,0,116,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920640,SPB00001|1920640,True,0,3499.744849799099,4016,0.0,0,3499.744849799099,4016,0,4526,1.0,0.0,1.0,0.0,11489.719279627081,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920640,edit,0.0,4366.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,157,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920641,SPB00001|1920641,True,0,3689.7210393549267,4234,5.0,5,3694.7210393549267,4239,2,4770,1.0,0.0,0.9986467178586037,0.0013532821413962462,11489.719279627081,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920641,edit,0.0,4655.0,0.0,1.0,EGEWNotSpanned,2,0,3,18.0,18.0,0,167,2,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
GE00001154-GED_A01,GE00001154-GED_A01,SPB00001,SPB00001,6002,1920642,SPB00001|1920642,True,0,2990.582192376462,2553,0.0,0,2990.582192376462,2553,0,2862,1.0,0.0,1.0,0.0,8617.709397513227,0.0,1.0,1.0,no_edit,1.000000E+00,,SPB00001|1920642,edit,0.0,4035.0,0.0,1.0,EGEWNotSpanned,0,0,0,0.0,0.0,0,178,0,GE00001154-GED,v0.5.0,Yeast,Edit,ODD157,CenPK,#NA,#NA
