SampleId,SampleName,OnyxDesignDnaId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,DesignCategory,DesignFractionalAbundanceMappedDesigns,DesignRepresentationMappedDesigns,Log10DesignRepresentationMappedDesigns,ForwardReadCount,ReverseReadCount,DesignCollides,AmpliconType,ContainerNumber,EstimatedAmpliconSize,InscriptaChemistrySOPVersion,StrainFunction,Var1,Var2,Var3
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34136,121,4.0715365608841086e-05,0.039941773662273104,-1.398572653670753,edit,4.419033984562598e-05,0.04100863537674091,-1.3871246822660832,0,121,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34388,1592,0.0005356930747873968,0.5255149063664363,-0.2794149605855529,edit,0.0005814133969771617,0.5395516323948061,-0.26796698918088296,0,1592,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34202,3458,0.0011635845807882023,1.1414764737532264,0.05746696495070058,edit,0.0012628941750923524,1.171965794485703,0.0689149363553705,0,3458,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34308,2270,0.0007638337184468534,0.7493208777963632,-0.1253321667940804,edit,0.0008290253838807518,0.7693355562413376,-0.11388419538941053,0,2270,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33883,2909,0.0009788512277365184,0.9602530544095246,-0.017614302740143917,edit,0.0010623942033960825,0.9859018207515645,-0.006166331335474025,0,2909,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34758,2027,0.0006820664966043048,0.669107233168823,-0.17450427529419443,edit,0.0007402794947692881,0.6869793711458994,-0.16305630388952452,0,2027,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34857,2574,0.0008661268684062559,0.8496704579065371,-0.0707494814188352,edit,0.0009400490476251344,0.8723655161961247,-0.0593015100141654,0,2574,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34289,2380,0.0008008476871821635,0.7856315811257024,-0.10478106693069118,edit,0.0008691984201040482,0.8066161338565567,-0.09333309552602126,0,2380,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34876,341,0.00011474330307946125,0.11256318032095149,-0.9486036449947054,edit,0.00012453641229221866,0.11556979060717892,-0.9371556735900355,0,341,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34339,1891,0.0006363037716224669,0.6242139999616401,-0.2046664951421634,edit,0.0006906110136204853,0.6408870206398104,-0.1932185237374935,0,1891,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34134,1931,0.0006497633966171251,0.6374178920813998,-0.1955757502078084,edit,0.0007052193904289567,0.6544435943180719,-0.18412777880313852,0,1931,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33913,2456,0.0008264209746720141,0.8107189761532458,-0.09112966151807307,edit,0.0008969543360401438,0.8323736238452535,-0.07968169011340315,0,2456,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34750,1183,0.0003980684092170166,0.3905051094418933,-0.4083732793592727,edit,0.00043204274411054157,0.40093566653458257,-0.3969253079546029,0,1183,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34050,209,7.032654059708915e-05,0.06899033632574446,-1.161211737876149,edit,7.632876882426305e-05,0.07083309746891611,-1.1497637664714793,0,209,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34818,2668,0.0008977569871437027,0.8806996043879723,-0.055172198742691754,edit,0.0009743787331250423,0.9042234643400392,-0.04372422733802187,0,2668,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33808,2502,0.0008418995434158711,0.8259034520909696,-0.08307071862980195,edit,0.0009137539693698859,0.8479636835752541,-0.07162274722513211,0,2502,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33937,5558,0.0018702148930077585,1.8346808100406111,0.26356051845414996,edit,0.002029833957537101,1.8836859125944296,0.2750084898588199,0,5558,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34883,1064,0.00035802602485790843,0.35122353038560816,-0.45441639602817374,edit,0.0003885828231053392,0.3606048598417548,-0.44296842462350383,0,1064,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34880,5398,0.0018163763930291257,1.7818652415615723,0.25087485623329475,edit,0.001971400450303215,1.8294596178813838,0.26232282763796466,0,5398,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34350,3967,0.001334858308845228,1.3094960009771686,0.11710417648694735,edit,0.0014487857699801508,1.34447319454158,0.12855214789161729,0,3967,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34316,2142,0.0007207629184639473,0.7070684230131322,-0.1505385574913663,edit,0.0007822785780936433,0.725954520470901,-0.13909058608669642,0,2142,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34245,5874,0.0019765459304655585,1.938991557786713,0.2875759181995784,edit,0.0021452401343240246,1.990782844652695,0.2990238896042482,0,5874,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34735,3482,0.0011716603557849973,1.1493988090250824,0.06047074279410931,edit,0.0012716592011774352,1.18009973869266,0.0719187141987792,0,3482,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,34212,4528,0.0015236295493953095,1.4946805879567986,0.17454839419301188,edit,0.0016536682547189621,1.5346041403791968,0.18599636559768173,0,4528,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
GE00000969-AMD_F01,GE00000969-AMD_F01,SPB00001,33805,1868,0.0006285644872505385,0.6166217619927783,-0.2099811520931285,edit,0.0006822111969556143,0.63309199077481,-0.19853318068845868,0,1868,0,Plasmid,GE00000969-AMD,338.0,v0.5,Edit,ODD125,Shelf Life,#NA
