SampleId,SampleName,DesignLibraryId,DesignId,DesignCount,DesignFractionalAbundance,DesignRepresentation,Log10DesignRepresentation,ForwardReadCount,ReverseReadCount,DesignCollides,Var1,Var2,Var3,Var4,Var5
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000025,128,2.0515605243211698e-05,0.20519708364260342,-0.6878288159136571,0,128,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000026,453,7.26060091810539e-05,0.726205303828901,-0.13894058354869362,0,453,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000027,144,2.308005589861316e-05,0.23084671909792884,-0.6366762934662757,0,144,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000028,34,5.449457642728107e-06,0.05450547534256653,-1.2635598685192704,0,34,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000029,21,3.3658414852144193e-06,0.03366514653511462,-1.4728194908276062,0,21,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000030,2695,0.0004319496572691838,4.320360472006376,0.635519983961232,0,2695,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000031,114,1.827171091973542e-05,0.18275365261919366,-0.7381339342250528,0,114,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000032,81,1.2982531442969903e-05,0.12985127949258496,-0.8865537666828758,0,81,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000033,68,1.0898915285456215e-05,0.10901095068513306,-0.9625298728552891,0,68,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000034,93,1.4905869434521e-05,0.14908850608407903,-0.8265558370075903,0,93,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000035,32,5.1289013108029246e-06,0.051299270910650854,-1.2898888072416195,0,32,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000036,3966,0.0006356632062076375,6.357903388488791,0.8033139243077585,0,3966,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000037,57,9.13585545986771e-06,0.09137682630959683,-1.039163929889034,0,57,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000038,156,2.5003393890164257e-05,0.2500839456894229,-0.6019141872070639,0,156,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000039,190,3.0452851532892365e-05,0.30458942103198944,-0.5162851846086964,0,190,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000040,111,1.7790876421847646e-05,0.17794434597132017,-0.7497158067748679,0,111,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000041,379,6.0745424899822136e-05,0.607575739848021,-0.21639957559345308,0,379,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000042,389,6.234820655944805e-05,0.6236067620075993,-0.20508918423581773,0,389,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000043,105,1.6829207426072098e-05,0.16832573267557313,-0.7738494864915872,0,105,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000044,189,3.0292573366929775e-05,0.3029863188160316,-0.5185769813882812,0,189,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000045,142,2.2759499566687978e-05,0.22764051466601315,-0.642750441178469,0,142,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
GE00000599-AMD_A01,GE00000599-AMD_A01,ON00000125_SPG00006,FC0000046,165,2.644589738382758e-05,0.26451186563304346,-0.5775548413476191,0,165,0,Edit,EXP-80153_AEC Selection,relA promoter combi,No AEC Rep1,BARCODE AMP 
